quarter,level_1,value
1970-Q1,General Business Expectations (Forecast For Next 6 Months),47
1970-Q1,Numbers Employed (Forecast For Next Quarter),na
1970-Q1,Overtime (Forecast For Next Quarter),na
1970-Q1,Output (Forecast For Next Quarter),na
1970-Q1,Total New Orders Received (Forecast For Next Quarter),na
1970-Q1,Domestic Orders (Forecast For Next Quarter),na
1970-Q1,Export Orders (Forecast For Next Quarter),na
1970-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1970-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1970-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1970-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1970-Q1,Average Selling Prices (Forecast For Next Quarter),na
1970-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1970-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1970-Q2,General Business Expectations (Forecast For Next 6 Months),41
1970-Q2,Numbers Employed (Forecast For Next Quarter),na
1970-Q2,Overtime (Forecast For Next Quarter),na
1970-Q2,Output (Forecast For Next Quarter),na
1970-Q2,Total New Orders Received (Forecast For Next Quarter),na
1970-Q2,Domestic Orders (Forecast For Next Quarter),na
1970-Q2,Export Orders (Forecast For Next Quarter),na
1970-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1970-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1970-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1970-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1970-Q2,Average Selling Prices (Forecast For Next Quarter),na
1970-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1970-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1970-Q3,General Business Expectations (Forecast For Next 6 Months),48
1970-Q3,Numbers Employed (Forecast For Next Quarter),na
1970-Q3,Overtime (Forecast For Next Quarter),na
1970-Q3,Output (Forecast For Next Quarter),na
1970-Q3,Total New Orders Received (Forecast For Next Quarter),na
1970-Q3,Domestic Orders (Forecast For Next Quarter),na
1970-Q3,Export Orders (Forecast For Next Quarter),na
1970-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1970-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1970-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1970-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1970-Q3,Average Selling Prices (Forecast For Next Quarter),na
1970-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1970-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1970-Q4,General Business Expectations (Forecast For Next 6 Months),38
1970-Q4,Numbers Employed (Forecast For Next Quarter),na
1970-Q4,Overtime (Forecast For Next Quarter),na
1970-Q4,Output (Forecast For Next Quarter),na
1970-Q4,Total New Orders Received (Forecast For Next Quarter),na
1970-Q4,Domestic Orders (Forecast For Next Quarter),na
1970-Q4,Export Orders (Forecast For Next Quarter),na
1970-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1970-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1970-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1970-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1970-Q4,Average Selling Prices (Forecast For Next Quarter),na
1970-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1970-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1971-Q1,General Business Expectations (Forecast For Next 6 Months),36
1971-Q1,Numbers Employed (Forecast For Next Quarter),na
1971-Q1,Overtime (Forecast For Next Quarter),na
1971-Q1,Output (Forecast For Next Quarter),na
1971-Q1,Total New Orders Received (Forecast For Next Quarter),na
1971-Q1,Domestic Orders (Forecast For Next Quarter),na
1971-Q1,Export Orders (Forecast For Next Quarter),na
1971-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1971-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1971-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1971-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1971-Q1,Average Selling Prices (Forecast For Next Quarter),na
1971-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1971-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1971-Q2,General Business Expectations (Forecast For Next 6 Months),41
1971-Q2,Numbers Employed (Forecast For Next Quarter),na
1971-Q2,Overtime (Forecast For Next Quarter),na
1971-Q2,Output (Forecast For Next Quarter),na
1971-Q2,Total New Orders Received (Forecast For Next Quarter),na
1971-Q2,Domestic Orders (Forecast For Next Quarter),na
1971-Q2,Export Orders (Forecast For Next Quarter),na
1971-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1971-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1971-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1971-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1971-Q2,Average Selling Prices (Forecast For Next Quarter),na
1971-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1971-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1971-Q3,General Business Expectations (Forecast For Next 6 Months),28
1971-Q3,Numbers Employed (Forecast For Next Quarter),na
1971-Q3,Overtime (Forecast For Next Quarter),na
1971-Q3,Output (Forecast For Next Quarter),na
1971-Q3,Total New Orders Received (Forecast For Next Quarter),na
1971-Q3,Domestic Orders (Forecast For Next Quarter),na
1971-Q3,Export Orders (Forecast For Next Quarter),na
1971-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1971-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1971-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1971-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1971-Q3,Average Selling Prices (Forecast For Next Quarter),na
1971-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1971-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1971-Q4,General Business Expectations (Forecast For Next 6 Months),19
1971-Q4,Numbers Employed (Forecast For Next Quarter),na
1971-Q4,Overtime (Forecast For Next Quarter),na
1971-Q4,Output (Forecast For Next Quarter),na
1971-Q4,Total New Orders Received (Forecast For Next Quarter),na
1971-Q4,Domestic Orders (Forecast For Next Quarter),na
1971-Q4,Export Orders (Forecast For Next Quarter),na
1971-Q4,Deliveries In Singapore (Forecast For Next Quarter),na
1971-Q4,Deliveries Overseas (Forecast For Next Quarter),na
1971-Q4,Stocks Of Raw Materials (Forecast For Next Quarter),na
1971-Q4,Stocks Of Finished Goods (Forecast For Next Quarter),na
1971-Q4,Average Selling Prices (Forecast For Next Quarter),na
1971-Q4,Investment On Buildings (Forecast - Next 12 Months),na
1971-Q4,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q1,General Business Expectations (Forecast For Next 6 Months),47
1972-Q1,Numbers Employed (Forecast For Next Quarter),na
1972-Q1,Overtime (Forecast For Next Quarter),na
1972-Q1,Output (Forecast For Next Quarter),na
1972-Q1,Total New Orders Received (Forecast For Next Quarter),na
1972-Q1,Domestic Orders (Forecast For Next Quarter),na
1972-Q1,Export Orders (Forecast For Next Quarter),na
1972-Q1,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q1,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q1,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q1,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q1,Average Selling Prices (Forecast For Next Quarter),na
1972-Q1,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q1,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q2,General Business Expectations (Forecast For Next 6 Months),45
1972-Q2,Numbers Employed (Forecast For Next Quarter),na
1972-Q2,Overtime (Forecast For Next Quarter),na
1972-Q2,Output (Forecast For Next Quarter),na
1972-Q2,Total New Orders Received (Forecast For Next Quarter),na
1972-Q2,Domestic Orders (Forecast For Next Quarter),na
1972-Q2,Export Orders (Forecast For Next Quarter),na
1972-Q2,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q2,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q2,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q2,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q2,Average Selling Prices (Forecast For Next Quarter),na
1972-Q2,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q2,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q3,General Business Expectations (Forecast For Next 6 Months),50
1972-Q3,Numbers Employed (Forecast For Next Quarter),na
1972-Q3,Overtime (Forecast For Next Quarter),na
1972-Q3,Output (Forecast For Next Quarter),na
1972-Q3,Total New Orders Received (Forecast For Next Quarter),na
1972-Q3,Domestic Orders (Forecast For Next Quarter),na
1972-Q3,Export Orders (Forecast For Next Quarter),na
1972-Q3,Deliveries In Singapore (Forecast For Next Quarter),na
1972-Q3,Deliveries Overseas (Forecast For Next Quarter),na
1972-Q3,Stocks Of Raw Materials (Forecast For Next Quarter),na
1972-Q3,Stocks Of Finished Goods (Forecast For Next Quarter),na
1972-Q3,Average Selling Prices (Forecast For Next Quarter),na
1972-Q3,Investment On Buildings (Forecast - Next 12 Months),na
1972-Q3,Investment On Plant & Machinery (Forecast-next 12 Months),na
1972-Q4,General Business Expectations (Forecast For Next 6 Months),43
1972-Q4,Numbers Employed (Forecast For Next Quarter),na
1972-Q4,Overtime (Forecast For Next Quarter),na
1972-Q4,Output (Forecast For Next Quarter),na
1972-Q4,Total New Orders Received (Forecast For Next Quarter),na
1972-Q4,Domestic Orders (Forecast For Next Quarter),na
1972-Q4,Export Orders (Forecast For Next Quarter),na
