Thousands,Total,HDBDwellings_Total1,HDBDwellings_1_And2_RoomFlats2,HDBDwellings_3_RoomFlats,HDBDwellings_4_RoomFlats,HDBDwellings_5_RoomAndExecutiveFlats,CondominiumsAndOtherApartments,LandedProperties,Others
Total,1225.3,981.1,68.8,223.4,392.3,295.8,170.8,69.2,4.2
Ang Mo Kio,62.6,52.4,5.6,25.5,14.8,6.5,5,4.9,0.3
Bedok,92.2,60.4,4,21.8,21,13.6,19.3,12.3,0.3
Bishan,27.8,19.7,0.5,2,9.8,7.3,4.9,3.2,0.1
Bukit Batok,44,33.5,0.7,9.8,15,8,8.9,1.5,0.2
Bukit Merah,55.2,51.3,12,15.9,14.3,9.1,3.6,0.1,0.2
Bukit Panjang,41.2,34.3,0.9,3.5,15.6,14.3,5.6,1.3,0
Bukit Timah,23.9,2.3,0,0.5,0.9,0.9,11.9,9.4,0.3
Choa Chu Kang,49.3,43.4,1.6,1.6,21,19.2,5,0.9,0.1
Clementi,30.1,23.2,1.2,10.5,8.5,3,5.1,1.6,0.2
Geylang,37.5,29.4,4.5,10.5,9.8,4.6,6.3,1.3,0.4
Hougang,64.3,50.4,1.5,9.6,25.3,14,7.7,6.1,0.1
Jurong East,25.5,22.9,1,6.2,8,7.6,2.5,0,0.1
Jurong West,81.6,75.7,2.9,12.5,31.1,29.2,4.9,1,0
Kallang,36.5,28.1,5.7,9.9,8,4.5,7.8,0.2,0.4
Marine Parade,15.2,7.3,1.4,2.8,1.7,1.3,5.9,2,0.1
Novena,15.7,7,0.9,2.8,2.2,1.1,6.9,1.8,0.1
Outram,8.4,7.6,2.5,2.6,1.7,0.9,0.8,0,0
Pasir Ris,40.6,31.2,0.7,0.1,12.2,18.2,7.7,1.6,0.1
Punggol,33.2,31.8,1.8,1.9,14.7,13.4,1.4,0,0
Queenstown,35.5,29.9,3.6,14.4,7.9,4,4.5,1.1,0.1
Sembawang,23.1,21.1,0.5,0.3,9.3,10.9,1,1.1,0
Sengkang,64.6,59.5,1.8,2.2,28,27.5,4.5,0.5,0
Serangoon,39,22.4,0.3,4.7,10.6,6.7,5.3,11,0.3
Tampines,79.9,69.3,2.5,13.6,29.4,23.7,9,1.3,0.2
Tanglin,7,0.2,0,0,0,0.1,6.2,0.6,0
Toa Payoh,43.1,37.7,4.9,15.2,10,6.8,3.1,1.8,0.5
Woodlands,70.4,67,3.2,6.9,29.9,27,3.4,0.1,0
Yishun,62.9,57.5,2.2,13.7,29.8,11.9,3.8,1.4,0.2
Others,14.9,4.8,0.5,2.3,1.8,0.2,8.9,1.1,0.1
