Number,Total_Total,Total_Males,Total_Females,Chinese_Total,Chinese_Males,Chinese_Females,Malays_Total,Malays_Males,Malays_Females,Indians_Total,Indians_Males,Indians_Females,Others_Total,Others_Males,Others_Females
Total,4044210,1977560,2066650,3006770,1461340,1545430,545500,271330,274170,362270,185570,176710,129670,59320,70350
Ang Mo Kio - Total,162280,77570,84700,134350,64050,70300,11140,5480,5660,12810,6350,6470,3970,1690,2280
Ang Mo Kio Town Centre,4810,2260,2550,4140,1950,2200,140,60,80,370,170,200,160,80,80
Cheng San,28070,13480,14600,23240,11120,12120,1940,960,980,2280,1150,1130,610,250,370
Chong Boon,26500,12860,13640,21860,10590,11270,1830,920,900,2240,1130,1110,580,220,360
Kebun Bahru,22620,10660,11970,18710,8780,9930,1820,890,930,1590,780,800,510,210,300
Sembawang Hills,6850,3210,3650,6100,2850,3250,70,40,40,460,210,250,220,110,110
Shangri-La,15960,7780,8180,12350,6020,6330,1760,850,900,1480,760,730,370,160,220
Tagore,7950,3790,4160,7160,3400,3760,70,30,40,500,250,250,220,110,110
Townsville,21140,9930,11210,17360,8150,9210,1440,710,730,1760,840,920,590,240,350
Yio Chu Kang,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yio Chu Kang East,4200,2090,2120,3740,1850,1890,60,30,30,280,140,140,120,70,50
Yio Chu Kang North,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Yio Chu Kang West,24150,11520,12630,19690,9350,10340,2020,1000,1020,1860,910,950,590,270,320
Bedok - Total,276990,134210,142790,201780,96890,104880,39300,19340,19950,24450,12480,11960,11470,5490,5990
Bayshore,7450,3580,3870,5090,2370,2710,130,50,80,1590,790,800,650,370,290
Bedok North,81840,39700,42140,57440,27640,29800,15580,7750,7820,6200,3180,3020,2620,1130,1500
Bedok Reservoir,25470,12480,12990,19150,9340,9810,3270,1610,1660,2220,1140,1080,830,390,440
Bedok South,46690,22540,24160,36480,17450,19030,4570,2250,2320,3410,1740,1660,2240,1100,1140
Frankel,34490,16260,18230,28300,13180,15120,1040,460,590,2730,1390,1340,2420,1240,1180
Kaki Bukit,37150,18210,18940,24060,11710,12350,8710,4310,4410,3380,1750,1630,990,440,550
Kembangan,37460,18460,19010,26700,13140,13560,5870,2870,3010,3550,1820,1730,1340,630,710
Siglap,6440,2980,3460,4570,2070,2500,120,50,80,1380,670,700,370,190,180
