Thousands,Total_Total,Total_Males,Total_Females,Below30Years_Total,Below30Years_Males,Below30Years_Females,30_39Years_Total,30_39Years_Males,30_39Years_Females,40_49Years_Total,40_49Years_Males,40_49Years_Females,50YearsandOver_Total,50YearsandOver_Males,50YearsandOver_Females
Total,2147.8,1171.8,976,395.1,202.2,192.8,497.2,253.8,243.4,519.3,280.7,238.5,736.3,435,301.2
Public Bus Only,353.6,155.3,198.4,72.9,36.2,36.7,64,25.9,38,73.2,28.3,44.8,143.6,64.9,78.8
MRT Only,257.7,110.4,147.3,69.5,30.6,38.9,71.4,30.1,41.2,55.9,22.7,33.2,61,27.1,33.9
MRT & Public Bus Only,533.4,252.2,281.2,154.6,77.1,77.5,127.8,58.1,69.8,108.4,47.8,60.6,142.6,69.2,73.4
Other Combinations Of MRT Or Public Bus,115.5,58.2,57.3,21.7,10.2,11.5,35.4,17.2,18.2,30.9,16,14.9,27.5,14.8,12.7
Taxi Only,28.4,15,13.4,4.7,1.8,2.9,8.2,3.6,4.6,8,4.4,3.6,7.6,5.2,2.4
Car Only,470,319.5,150.5,32.4,19.1,13.3,122.1,77.5,44.6,150,101.7,48.2,165.5,121.2,44.3
Private Chartered Bus/Van Only,58.3,37,21.3,5.4,3,2.4,13.4,7.9,5.5,16.4,10.7,5.7,23,15.4,7.6
Lorry/Pickup Only,42.8,38.4,4.4,2,1.8,0.2,5.3,4.6,0.7,9.4,8.2,1.2,26.1,23.8,2.3
Motorcycle/Scooter Only,73.2,68.7,4.5,15.1,14.1,0.9,16,14.6,1.5,16.8,15.8,1,25.3,24.2,1.1
Others,32.1,22.8,9.3,3.1,2,1.1,6.3,3.6,2.8,7.6,5.7,1.9,15.1,11.5,3.5
No Transport Required,182.7,94.3,88.4,13.8,6.3,7.4,27.3,10.7,16.6,42.7,19.5,23.2,99.1,57.8,41.2
